ID,Age,Salary,Employment Type,Join Date,Complex Info,CI_Part1,CI_Part2,CI_Part3,Comments,Address,Street,City,Country
1,56.0,37214.2,Full-time,2023-12-08 22:34:08.743518,5-ED-881,5,ED,881,,"897 Main St, Texas, United Kingdom",897 Main St,Texas,UK
2,69.0,49936.97,Full-time,2023-12-31 00:00:00.000000,3-BD-836,3,BD,836,Poor,"2097 Main St, New York, Australia",2097 Main St,New York,
3,46.0,59486.81,Part-time,2023-06-26 22:34:08.743552,2-ED-134,2,ED,134,Poor,"8620 Main St, New York, USA",8620 Main St,New York,USA
4,32.0,42887.33,Full-time,2023-12-31 00:00:00.000000,2-BC-674,2,BC,674,,"6680 Main St, Illinois, Canada",6680 Main St,Illinois,Canada
5,60.0,38423.42,Contract,2023-11-05 22:34:08.743559,3-AA-125,3,AA,125,Poor,"8305 Main St, Texas, USA",8305 Main St,Texas,USA
6,25.0,74142.81,Full-time,2023-11-03 22:34:08.743563,2-DD-104,2,DD,104,Good,"781 Main St, Illinois, USA",781 Main St,Illinois,USA
7,38.0,53412.44,Freelance,2024-01-13 22:34:08.743567,2-DC-234,2,DC,234,Good,"4753 Main St, California, Canada",4753 Main St,California,Canada
8,56.0,59539.52,Full-time,2023-10-31 22:34:08.743571,3-CB-152,3,CB,152,,"4995 Main St, Australia",4995 Main St,Australia,
9,36.0,37668.86,Full-time,2023-11-09 22:34:08.743575,5-AA-753,5,AA,753,Good,"2305 Main St, New York, USA",2305 Main St,New York,USA
10,40.0,31710.73,Freelance,2023-12-13 22:34:08.743579,3-EE-383,3,EE,383,Average,"4742 Main St, California, USA",4742 Main St,California,USA
11,28.0,41458.25,Freelance,2023-12-21 22:34:08.743583,5-BD-462,5,BD,462,Poor,"4448 Main St, California, Canada",4448 Main St,California,Canada
12,28.0,48139.68,Contract,2023-12-31 00:00:00.000000,2-AB-611,2,AB,611,Average,"9691 Main St, Illinois, USA",9691 Main St,Illinois,USA
13,41.0,34036.7,Freelance,2023-09-16 22:34:08.743590,3-CB-880,3,CB,880,Average,"1662 Main St, Texas, USA",1662 Main St,Texas,USA
14,53.0,49852.33,Freelance,2024-01-08 22:34:08.743594,1-CD-938,1,CD,938,Average,"5859 Main St, Florida, USA",5859 Main St,Florida,USA
15,57.0,24672.42,Contract,2024-01-02 22:34:08.743598,5-DB-347,5,DB,347,Good,"9792 Main St, California, United Kingdom",9792 Main St,California,UK
16,41.0,33199.29,Contract,2023-02-25 22:34:08.743601,2-CB-687,2,CB,687,Poor,"7850 Main St, Texas, Australia",7850 Main St,Texas,
17,20.0,60063.67,Full-time,2023-06-16 22:34:08.743605,5-CE-764,5,CE,764,Poor,"8194 Main St, California, USA",8194 Main St,California,USA
18,39.0,49936.97,Part-time,2023-06-12 22:34:08.743609,5-ED-390,5,ED,390,,"3765 Main St, Florida, Australia",3765 Main St,Florida,
19,19.0,44121.85,Contract,2023-05-08 22:34:08.743613,3-EB-140,3,EB,140,Average,"2498 Main St, Illinois, United Kingdom",2498 Main St,Illinois,UK
20,41.0,34733.54,Freelance,2023-04-11 22:34:08.743617,4-AB-462,4,AB,462,Good,"8431 Main St, California, Australia",8431 Main St,California,
21,61.0,34588.95,Full-time,2023-12-31 00:00:00.000000,5-EB-518,5,EB,518,Average,"1141 Main St, Florida, USA",1141 Main St,Florida,USA
22,47.0,44400.98,Freelance,2023-02-24 22:34:08.743624,1-DE-775,1,DE,775,Average,"2507 Main St, Texas, USA",2507 Main St,Texas,USA
23,55.0,59667.78,Contract,2024-01-08 22:34:08.743627,4-AE-287,4,AE,287,Poor,"1959 Main St, New York, USA",1959 Main St,New York,USA
24,19.0,63923.69,Part-time,2023-07-27 22:34:08.743630,5-DB-734,5,DB,734,,"3659 Main St, New York, Australia",3659 Main St,New York,
25,38.0,42552.02,Full-time,2023-03-26 22:34:08.743634,3-AB-941,3,AB,941,Good,"6432 Main St, Illinois, USA",6432 Main St,Illinois,USA
26,50.0,32697.61,Contract,2024-01-08 22:34:08.743637,1-AB-512,1,AB,512,Poor,"583 Main St, Illinois, Australia",583 Main St,Illinois,
27,29.0,54017.65,Contract,2023-11-08 22:34:08.743640,3-DD-950,3,DD,950,Average,"3054 Main St, Texas, United Kingdom",3054 Main St,Texas,UK
28,39.0,37646.98,Freelance,2023-08-14 22:34:08.743644,1-BC-310,1,BC,310,Poor,"667 Main St, California, USA",667 Main St,California,USA
29,61.0,42226.21,Part-time,2023-05-05 22:34:08.743647,2-DE-738,2,DE,738,Average,"2403 Main St, New York, USA",2403 Main St,New York,USA
30,43.0,69879.14,Contract,2023-12-31 00:00:00.000000,3-ED-787,3,ED,787,Good,"7101 Main St, New York, Australia",7101 Main St,New York,
31,66.0,62406.73,Freelance,2023-12-31 00:00:00.000000,4-DD-225,4,DD,225,Poor,"6450 Main St, New York, Australia",6450 Main St,New York,
32,44.0,52369.61,Full-time,2023-12-22 22:34:08.743656,2-BA-479,2,BA,479,Poor,"6329 Main St, Illinois, Australia",6329 Main St,Illinois,
33,59.0,30921.21,Freelance,2024-02-08 22:34:08.743659,4-EE-490,4,EE,490,Poor,"1218 Main St, Florida, USA",1218 Main St,Florida,USA
34,45.0,53170.95,Full-time,2023-04-29 22:34:08.743663,2-AE-936,2,AE,936,Poor,"2570 Main St, California, Australia",2570 Main St,California,
35,33.0,65939.86,Freelance,2023-09-26 22:34:08.743666,1-CC-860,1,CC,860,Poor,"1700 Main St, New York, United Kingdom",1700 Main St,New York,UK
36,32.0,44365.5,Part-time,2023-08-20 22:34:08.743669,1-CE-584,1,CE,584,Good,"9312 Main St, California, USA",9312 Main St,California,USA
37,64.0,70266.71,Freelance,2023-10-05 22:34:08.743673,5-EB-430,5,EB,430,,"7571 Main St, Illinois, Canada",7571 Main St,Illinois,Canada
38,68.0,69391.18,Part-time,2023-12-25 22:34:08.743677,5-BE-848,5,BE,848,Good,"6829 Main St, Florida, Canada",6829 Main St,Florida,Canada
39,61.0,74955.99,Part-time,2023-05-16 22:34:08.743681,1-DC-774,1,DC,774,Poor,"1586 Main St, Florida, Canada",1586 Main St,Florida,Canada
40,69.0,54578.65,Full-time,2023-07-22 22:34:08.743684,4-EC-186,4,EC,186,Average,"8711 Main St, California, USA",8711 Main St,California,USA
41,20.0,58810.88,Freelance,2023-07-25 22:34:08.743689,1-EC-699,1,EC,699,Average,"6981 Main St, California",6981 Main St,California,
42,54.0,71212.81,Freelance,2023-09-18 22:34:08.743692,5-BB-973,5,BB,973,Poor,"8080 Main St, New York, United Kingdom",8080 Main St,New York,UK
43,68.0,56710.91,Freelance,2023-10-20 22:34:08.743696,3-CA-741,3,CA,741,,"6216 Main St, Illinois, Australia",6216 Main St,Illinois,
44,24.0,42481.49,Part-time,2023-07-02 22:34:08.743700,3-EB-135,3,EB,135,Poor,"5741 Main St, California, United Kingdom",5741 Main St,California,UK
45,38.0,43271.86,Contract,2023-12-04 22:34:08.743703,4-DB-352,4,DB,352,Good,"2458 Main St, California, Canada",2458 Main St,California,Canada
46,26.0,53578.32,Freelance,2023-06-29 22:34:08.743707,4-EE-353,4,EE,353,,"5006 Main St, California, Australia",5006 Main St,California,
